site,keyword,title,url,snippet,date,image,section
abc,,University staff 'disheartened and demoralised' as thousands sacked,https://www.abc.net.au/news/2025-09-12/university-sector-job-cuts-/105761276,,,https://live-production.wcms.abc-cdn.net.au/75ccc6bac8e8a8a9c2ae1e0be954a9f5?impolicy=wcms_crop_resize&cropH=840&cropW=1120&xPos=140&yPos=0&width=160&height=120,Topic:Higher Education
abc,,"Inside the plan to station 1,200 Americans and their subs near Perth",https://www.abc.net.au/news/2025-09-12/inside-the-aukus-plan-to-station-american-subs-near-perth/105763818,,,https://live-production.wcms.abc-cdn.net.au/bd49c8eba5bdc82304971a8f8627419a?impolicy=wcms_crop_resize&cropH=2097&cropW=2796&xPos=0&yPos=0&width=160&height=120,Topic:Defence Forces
abc,,Growing group of Labor MPs urge 2035 emissions target above Climate Authority's floor,https://www.abc.net.au/news/2025-09-12/labor-mps-urge-2035-target-within-climate-authority-advice/105762592,,,https://live-production.wcms.abc-cdn.net.au/2275da3b57e58d3c28fde63fd61c8168?impolicy=wcms_crop_resize&cropH=2099&cropW=2799&xPos=175&yPos=0&width=160&height=120,Topic:Climate Change
abc,,'Clone' websites impersonating retailers and scamming online shoppers,https://www.abc.net.au/news/2025-09-12/clone-websites-retailers-catch-out-online-shoppers-scam/105736854,,,https://live-production.wcms.abc-cdn.net.au/0eca748d43602aaa184c02f099a5ff4c?impolicy=wcms_crop_resize&cropH=3333&cropW=4444&xPos=278&yPos=0&width=160&height=120,Topic:Online Shopping
abc,,"Jacinta Nampijinpa Price attends fundraiser in Perth, avoids waiting media",https://www.abc.net.au/news/2025-09-11/jacinta-nampijinpa-price-liberal-meeting-perth/105763152,,,https://live-production.wcms.abc-cdn.net.au/42507d5304e500e3d85d94ef9c0db9b3?impolicy=wcms_crop_resize&cropH=2308&cropW=3078&xPos=922&yPos=359&width=160&height=120,Topic:Liberal Party of Australia
abc,,Senior liberals warn Ley against 'incendiary' frontbench replacement pick,https://www.abc.net.au/news/2025-09-11/jostling-for-nampijinpa-prices-frontbench-replacement-underway/105762238,,,https://live-production.wcms.abc-cdn.net.au/da8c58dd0a0033c603314ca9956b98b6?impolicy=wcms_crop_resize&cropH=2388&cropW=3185&xPos=734&yPos=302&width=160&height=120,Topic:Liberal Party of Australia
abc,,Ireland threatens Eurovision boycott if Israel takes part,https://www.abc.net.au/news/2025-09-12/ireland-threatens-eurovision-boycott-if-isreal-takes-part/105764652,,,https://live-production.wcms.abc-cdn.net.au/a1b37c62bc0b4b23d25377e4111ed373?impolicy=wcms_crop_resize&cropH=2500&cropW=3333&xPos=0&yPos=1116&width=160&height=120,Topic:World Politics
abc,,Australian man faces trial in Bali over drug charges that risk death penalty,https://www.abc.net.au/news/2025-09-11/australian-accused-of-drug-smuggling-role-faces-indonesian-court/105761074,,,https://live-production.wcms.abc-cdn.net.au/b2ce54b8f0e2439bc19d91838850ab0d?impolicy=wcms_crop_resize&cropH=3072&cropW=4096&xPos=256&yPos=0&width=160&height=120,Topic:Courts
abc,,Cormann urges open mind about nuclear power amid climate debate,https://www.abc.net.au/news/2025-09-11/oecd-mathias-cormann-australia-nuclear-policy-climate-target/105764162,,,https://live-production.wcms.abc-cdn.net.au/e1cc7e926a6a805bbc413cb2405e54f9?impolicy=wcms_crop_resize&cropH=1274&cropW=1699&xPos=351&yPos=98&width=160&height=120,Topic:Nuclear Energy
abc,,Two Victoria Police officers charged with negligent manslaughter,https://www.abc.net.au/news/2025-09-11/two-officers-charged-homicide-squad-negligent-manslaughter/105762544,,,https://live-production.wcms.abc-cdn.net.au/5f02ee7d13e8519ecf8c83061c1c1edb?impolicy=wcms_crop_resize&cropH=3024&cropW=4032&xPos=0&yPos=0&width=160&height=120,Topic:Police
abc,,Sydney childcare worker charged with creating child abuse material,https://www.abc.net.au/news/2025-09-11/nsw-sydney-childcare-worker-charged-child-abuse-material/105761742,,,https://live-production.wcms.abc-cdn.net.au/c6ed0328fa8c8badd52a7c9d92f5df59?impolicy=wcms_crop_resize&cropH=1080&cropW=1440&xPos=139&yPos=0&width=160&height=120,Topic:Child Abuse
abc,,Larry Ellison briefly overtakes Elon Musk as world's richest person,https://www.abc.net.au/news/2025-09-11/larry-ellison-overtakes-elon-musk-world-richest-person/105761394,,,https://live-production.wcms.abc-cdn.net.au/4d7b2e501b8674d6b8b9a6fa068bace2?impolicy=wcms_crop_resize&cropH=3333&cropW=4444&xPos=184&yPos=0&width=160&height=120,Topic:Explainer
abc,,Bali travellers urged to get vaccinated amid new measles outbreak,https://www.abc.net.au/news/2025-09-11/measles-outbreak-declared-in-cairns/105762482,,,https://live-production.wcms.abc-cdn.net.au/0ac30a1e7177133e778962e1fde35700?impolicy=wcms_crop_resize&cropH=3403&cropW=4537&xPos=231&yPos=0&width=160&height=120,Topic:Infectious Diseases
abc,,Israel's goal is to destroy Hamas. Here is what the group has left,https://www.abc.net.au/news/2025-09-11/israel-qatar-doha-strike-impact-unclear-as-hamas-still-in-gaza/105759734,,,https://live-production.wcms.abc-cdn.net.au/d42d063888513059d6f8002e6a819c10?impolicy=wcms_crop_resize&cropH=2087&cropW=2783&xPos=0&yPos=0&width=160&height=120,"Topic:Unrest, Conflict and War"
abc,,"Body parts taken without consent for museum display, coroner finds",https://www.abc.net.au/news/2025-09-11/body-parts-taken-without-consent-for-utas-museum/105760914,,,https://live-production.wcms.abc-cdn.net.au/891daaa6dad5069244d683c8da7f4898?impolicy=wcms_crop_resize&cropH=1472&cropW=1962&xPos=97&yPos=303&width=160&height=120,Topic:Medical Ethics
abc,,A Nampijinpa Price-sized chink in Ley's armour and an Albanese fashion faux pas,https://www.abc.net.au/news/2025-09-11/jacinta-nampijinpa-price-sussan-ley-armour-election/105745506,,,https://live-production.wcms.abc-cdn.net.au/e1018115e1241c34dc7771edec79b115?impolicy=wcms_crop_resize&cropH=3877&cropW=5169&xPos=324&yPos=0&width=160&height=120,Analysis by Courtney Gould
abc,,Allegations of suspected $3m fraud rock IVF industry,https://www.abc.net.au/news/2025-09-11/fertility-society-suspects-fraud-by-former-contractor/105748762,,,https://live-production.wcms.abc-cdn.net.au/ed330560ec239fa6c564bf9e4ab10acc?impolicy=wcms_crop_resize&cropH=1152&cropW=1536&xPos=192&yPos=0&width=160&height=120,Topic:Fertility and Infertility
abc,,This Poland attack tells us Putin has no plans to do a peace deal,https://www.abc.net.au/news/2025-09-11/poland-drone-attack-shows-putin-no-peace-plans-any-time-soon/105760108,,,https://live-production.wcms.abc-cdn.net.au/fc430b3393844cd39c05f28ab9d41de2?impolicy=wcms_crop_resize&cropH=1612&cropW=2149&xPos=141&yPos=0&width=160&height=120,Analysis by Riley Stuart
abc,,Daughter tells court of 'bravest person I know' as mum's attacker jailed,https://www.abc.net.au/news/2025-09-11/robert-huber-sentenced-lindy-lucena-manslaughter/105752582,,,https://live-production.wcms.abc-cdn.net.au/2986e2c5acc83600b38cd42212095da6?impolicy=wcms_crop_resize&cropH=810&cropW=1080&xPos=0&yPos=379&width=160&height=120,Topic:Courts
abc,,'One of the worst': Notorious paedophile priest dies in prison hospital,https://www.abc.net.au/news/2025-09-11/paedophile-priest-john-sidney-denham-dies-prison-hospital/105763246,,,https://live-production.wcms.abc-cdn.net.au/4038e6dd725050f80a26955d0eb4a78b?impolicy=wcms_crop_resize&cropH=484&cropW=645&xPos=97&yPos=0&width=160&height=120,Topic:Child Sexual Abuse
abc,,Ex-Labor leader under fire for unmoderated Facebook comments,https://www.abc.net.au/news/2025-09-11/slurs-posted-on-dean-winter-facebook-post/105761952,,,https://live-production.wcms.abc-cdn.net.au/494b92e92c58b5dbf0e7845130dfd4f9?impolicy=wcms_crop_resize&cropH=4160&cropW=5546&xPos=347&yPos=0&width=160&height=120,Topic:Social Media
abc,,South Korea's skincare innovation attracts shoppers and Australian brands,https://www.abc.net.au/news/2025-09-11/the-rise-of-k-beauty-as-australia-market-size-swells/105753808,,,https://live-production.wcms.abc-cdn.net.au/2201d37cc25b5e307d40150e65fba6ed?impolicy=wcms_crop_resize&cropH=2066&cropW=2755&xPos=496&yPos=0&width=160&height=120,Topic:Cosmetic Industry
abc,,'I'll walk with you': Mitch Brown's message to next queer AFL player,https://www.abc.net.au/news/2025-09-11/mitch-brown-message-to-next-queer-afl-player/105759044,,,https://live-production.wcms.abc-cdn.net.au/4944bf2d2f18e857d6afceec8a4b6017?impolicy=wcms_crop_resize&cropH=2160&cropW=2880&xPos=480&yPos=0&width=160&height=120,Topic:Australian Rules Football
abc,,Sheargold's 'sexist' Matildas remarks breached decency rules,https://www.abc.net.au/news/2025-09-11/triple-m-marty-sheargold-matildas-comments-rules-breach/105761752,,,https://live-production.wcms.abc-cdn.net.au/440861cae157116a5f6c8faafb197960?impolicy=wcms_crop_resize&cropH=410&cropW=547&xPos=0&yPos=84&width=160&height=120,Topic:Media
abc,,Sydney Water under fire over 'forever chemical' hotspots in city,https://www.abc.net.au/news/2025-09-11/damning-report-into-handling-of-pfas-contamination-sydney-water/105763308,,,https://live-production.wcms.abc-cdn.net.au/1bcb9764f6c71d92436f6eb0efa7f49f?impolicy=wcms_crop_resize&cropH=2733&cropW=3644&xPos=228&yPos=0&width=160&height=120,Topic:Water Pollution
abc,,"Who was Charlie Kirk, the conservative activist and Trump ally?",https://www.abc.net.au/news/2025-09-11/charlie-kirk-who-helped-build-support-for-donald-trump-dies/105760300,,,https://live-production.wcms.abc-cdn.net.au/5b8e8960c2bb07140278731e4e1cd75b?impolicy=wcms_crop_resize&cropH=1796&cropW=2395&xPos=31&yPos=0&width=160&height=120,Topic:Explainer
abc,,Australia on alert as shot-hole borer wipes out thousands of trees,https://www.abc.net.au/news/2025-09-10/shot-hole-borer-tree-threat-australia/105740250,,,https://live-production.wcms.abc-cdn.net.au/c6fb09b05a46decedbf171e67795a346?impolicy=wcms_crop_resize&cropH=1572&cropW=2096&xPos=52&yPos=0&width=160&height=120,Topic:Biosecurity
abc,,Friends combine finances to buy dream home together,https://www.abc.net.au/news/2025-09-10/homebuyers-turn-to-shared-ownership-in-property-market/105719548,,,https://live-production.wcms.abc-cdn.net.au/370af6b4940c07f64366cc40ab0e67df?impolicy=wcms_crop_resize&cropH=2261&cropW=3014&xPos=1113&yPos=389&width=160&height=120,Topic:Property Prices
abc,,'Jarring to have my experience dismissed': Women report low healthcare satisfaction,https://www.abc.net.au/news/2025-09-09/women-health-canberra-survey-access-affordability-not-serious/105748894,,,https://live-production.wcms.abc-cdn.net.au/77da2065629118c581c6be675f88e137?impolicy=wcms_crop_resize&cropH=1716&cropW=2288&xPos=50&yPos=0&width=160&height=120,Topic:Women's Health
abc,,"In this food bowl region, the alarm is ringing over water supply",https://www.abc.net.au/news/2025-09-09/limestone-coast-concerns-for-groundwater-shortage/105619362,,,https://live-production.wcms.abc-cdn.net.au/d218ab37bb4225e86889bd5431089ccb?impolicy=wcms_crop_resize&cropH=3333&cropW=4444&xPos=0&yPos=0&width=160&height=120,Topic:Water Supply
abc,,What hope do the Liberals have if one rebellious senator brought a crisis?,https://www.abc.net.au/news/2025-09-12/sussan-ley-jacinta-nampijinpa-price-sacking/105748980,,,https://live-production.wcms.abc-cdn.net.au/8848e3f46ce69b4640cd2d59b87a4e7e?impolicy=wcms_crop_resize&cropH=1716&cropW=2288&xPos=285&yPos=0&width=160&height=120,Analysis by Michelle Grattan
abc,,Ley apologises for Nampijinpa Price's remarks about Indian migrants,https://www.abc.net.au/news/2025-09-11/jacinta-nampijinpa-price-liberals-react-sacking/105760472,,,https://live-production.wcms.abc-cdn.net.au/9e4ac362d23c58d7c59c8b104e0db2cf?impolicy=wcms_crop_resize&cropH=1536&cropW=2048&xPos=829&yPos=105&width=160&height=120,Topic:Liberal Party of Australia
abc,,Liberal says no moves to replace Ley as leader after Nampijinpa Price sacking,https://www.abc.net.au/news/2025-09-11/federal-politics-live-september-11/105759138,,,https://live-production.wcms.abc-cdn.net.au/fdbfed53370be24cc2147aa0a65a173e?impolicy=wcms_crop_resize&cropH=4480&cropW=5973&xPos=374&yPos=0&width=160&height=120,
