site,keyword,title,url,snippet,date,image,section
afr.com,probe,Chris Ellison’s mother-in-law snared by ASIC’s MinRes probe,https://www.afr.com/companies/mining/chris-ellison-s-mother-in-law-snared-by-asic-s-minres-probe-20250923-p5mxfp,The spotlight on Ellison’s role in the Kali Metals IPO increases the pressure on the company’s chairman about the founder’s departure date.,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAJCAQAAACRI2S5AAAAEElEQVR42mNkIAAYRxWAAQAG9gAKqv6+AwAAAABJRU5ErkJggg==",
afr.com,court,Senior CFMEU officials taken to court over Big Build ‘threats’,https://www.afr.com/work-and-careers/workplace/more-than-two-years-on-watchdog-moves-on-cfmeu-big-build-threats-20250923-p5mxbn,"More than two years on, the watchdog has taken legal action against two CFMEU organisers accused of threatening an Indigenous firm on Victorian government projects.",,,
afr.com,court,"Mayne Pharma director questioned management integrity, court hears",https://www.afr.com/companies/healthcare-and-fitness/mayne-pharma-director-questioned-management-integrity-court-hears-20250921-p5mwsx,"Mayne Pharma boss Shawn O’Brien was grilled in the NSW Supreme Court on the company’s financial forecasting, in proceedings brought by suitor Cosette.",,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
afr.com,class action,Seven West Media faces class action over alleged staff underpayments,https://www.afr.com/companies/media-and-marketing/seven-west-media-faces-class-action-over-alleged-staff-underpayments-20250923-p5mxcp,"A law firm claims to have spoken to more than 20 current and former employees of the network, who believe they have been systematically underpaid.",,,
afr.com,investigation,CFMEU training finances under investigation as head stood down,https://www.afr.com/work-and-careers/workplace/cfmeu-training-finances-under-investigation-as-head-stood-down-20250923-p5mx8r,"Multiple whistleblowers have raised concerns about finances and invoicing at the Port Melbourne education and training unit, union sources say.",,,
smh,probe,‘Worst public policy of the century’ faces probe,https://www.smh.com.au/politics/federal/worst-public-policy-of-the-century-faces-probe-20250924-p5mxlq.html,,,https://static.ffx.io/images/$zoom_0.0972%2C$multiply_0.254%2C$ratio_1%2C$width_378%2C$x_152%2C$y_0/t_crop_custom/q_86%2Cf_auto/c56db236228236bf9c04608f84fa25f9a2999a2e,
smh,class action,‘People are cranky’: Seven faces class action callout over pay,https://www.smh.com.au/business/companies/people-are-pretty-cranky-seven-faces-class-action-callout-over-pay-20250923-p5mxcm.html,,,https://static.ffx.io/images/$zoom_0.1094%2C$multiply_0.254%2C$ratio_1%2C$width_378%2C$x_96%2C$y_0/t_crop_custom/q_86%2Cf_auto/655cc7bfbf8addb56776774309dd0ce06d1d5198,
theage,court,Non-binary teacher takes Catholic school group to court over refusal to use preferred pronouns,https://www.theage.com.au/national/victoria/non-binary-teacher-takes-catholic-school-group-to-court-over-refusal-to-use-preferred-pronouns-20250924-p5mxki.html,The teacher’s union says the case could open the floodgates to gender and sex discrimination disputes in religious schools around the country.,,https://static.ffx.io/images/$zoom_0.18900000000000003%2C$multiply_0.7725%2C$ratio_1.5%2C$width_756%2C$x_0%2C$y_0/t_crop_custom/q_86%2Cf_auto/d3fcc003dcf22635cf35573ea50752e0f69a1ad5,Education
theage,court,CFMEU officials taken to court over alleged Big Build worksite coercion,https://www.theage.com.au/national/victoria/cfmeu-officials-taken-to-court-over-alleged-big-build-worksite-coercion-20250924-p5mxip.html,The workplace watchdog has taken the CFMEU and two senior officials to court for allegedly threatening an Indigenous labour hire firm in an attempt to push it off Victorian government worksites.,,https://static.ffx.io/images/$zoom_0.1071%2C$multiply_0.254%2C$ratio_1%2C$width_378%2C$x_0%2C$y_0/t_crop_custom/q_86%2Cf_auto/dd5089cf789fa26ddc0e6892e24cfaa4f88ba031,Building Bad
theage,probe,‘Worst public policy of the century’ faces probe,https://www.theage.com.au/politics/federal/worst-public-policy-of-the-century-faces-probe-20250924-p5mxlq.html,,,https://static.ffx.io/images/$zoom_0.0972%2C$multiply_0.254%2C$ratio_1%2C$width_378%2C$x_152%2C$y_0/t_crop_custom/q_86%2Cf_auto/c56db236228236bf9c04608f84fa25f9a2999a2e,GST
