site,keyword,title,url,snippet,date,image,section
skynews,,Charlie Kirk’s assassination a clear example of ‘rising political violence’,https://www.skynews.com.au/opinion/chris-kenny/charlie-kirks-assassination-a-clear-example-of-rising-political-violence/video/2a2838c3a4763242203a359073163167,Sky News host Chris Kenny discusses the assassination of US political influencer Charlie Kirk at Utah Valley University.,,https://content.api.news/v3/images/bin/16a5b8bceeaf8d8f1c74f66fde94c90d,Chris Kenny
skynews,,‘Admired his bravery’: Charlie Kirk remembered for debating in the ‘lion’s den’,https://www.skynews.com.au/opinion/peta-credlin/admired-his-bravery-charlie-kirk-remembered-for-debating-in-the-lions-den/video/56b7f0987eb0797737ab9f7a0d0ca20c,Sky News host Peta Credlin discusses how the “battle of ideas” in the United States have “all fallen away” as conservative influencer…,,https://content.api.news/v3/images/bin/3f9c7e4cef991949c32171a0f506eae4,Peta Credlin
skynews,,Lefties shamed for being in ‘glee’ following Charlie Kirk’s assassination,https://www.skynews.com.au/opinion/lefties-shamed-for-being-in-glee-following-charlie-kirks-assassination/video/6cd628d00e84992d24d693d30020f2b9,Nationals MP Barnaby Joyce says what “shocks” him about the murder of Turning Point founder Charlie Kirk is that some people are in “glee”….,,https://content.api.news/v3/images/bin/1e378f8e7884ff8933e60d7372665fa5,Opinion
skynews,,‘Killer is still at large’: Charlie Kirk’s murder is an act of violence no one ‘will forget’,https://www.skynews.com.au/opinion/sharri-markson/killer-is-still-at-large-charlie-kirks-murder-is-an-act-of-violence-no-one-will-forget/video/aec30e840d98570b2c520e3551c74b66,Sky News host Sharri Markson discusses the “political assassination” of Charlie Kirk that “shocked the world”.,,https://content.api.news/v3/images/bin/2a3a68cad3a77366f9d175c49b167e61,Sharri Markson
skynews,,‘Why he mattered’: Remembering Charlie Kirk,https://www.skynews.com.au/opinion/paul-murray/why-he-mattered-remembering-charlie-kirk/video/49b6daa4968dafcdc7deb2e92fd67e9f,"On tonight’s episode of Paul Murray Live, Sky News host Paul Murray discusses the assassination of Charlie Kirk, Victorian politics, climate…",,https://content.api.news/v3/images/bin/82490a637cc622bb8be62b13ef67b34a,Paul Murray
skynews,,‘He was a mainstream Republican’: Charlie Kirk didn’t have ‘hate in his heart’,https://www.skynews.com.au/opinion/rita-panahi/he-was-a-mainstream-republican-charlie-kirk-didnt-have-hate-in-his-heart/video/907a44679c276ce64bf90a99629c5558,Filmmaker Ami Horowitz says Turning Point founder Charlie Kirk didn’t have “hate” in his heart.,,https://content.api.news/v3/images/bin/9a3d2708338c7b6a6fa84982821770e0,Rita Panahi
skynews,,‘A visionary’: Sky News Presenter’s touching tribute details legacy of Charlie Kirk,https://www.skynews.com.au/world-news/united-states/a-visionary-sky-news-presenter-gabriella-powers-touching-tribute-details-legacy-of-charlie-kirk-after-activist-gunned-down-in-shock-assassination/news-story/19b006e4a7ad1980318be1e0ded04f7a,Sky News Presenter Gabriella Power left a touching tribute to the late Charlie Kirk after the conservative activist’s assassination shocked the globe.,2025-09-12T05:00:00+10:00,https://content.api.news/v3/images/bin/6e1a4605e4c4026d15fbd9671634225a,United States
skynews,,FBI releases images of man linked to Kirk assassination,https://www.skynews.com.au/australia-news/us-president-donald-trump-to-posthumously-award-charlie-kirk-presidential-medal-of-freedom-nations-highest-civilian-honour/live-coverage/17b07f820d1c00ea2ea1f5fda99cd81d,"The FBI has released two images of a man they believe is linked to the assassination of Charlie Kirk, as a manhunt for the shooter continues. Join SkyNews.com.au for rolling news and political coverage.",,https://content.api.news/v3/images/bin/c862ad0ccdb1afe6eac3206fe7a0e720,Australia
skynews,,Sydney’s freedom from wild weather to be restored after historic drenching,https://www.skynews.com.au/australia-news/weather/sydneys-midweek-historically-wild-weather-over-as-sunny-and-mild-weekend-forecast/news-story/9a29a14a12ce470fde52bd10467e6e79,"Sydney’s record-setting drenching is over, with clear skies and mild conditions forecast for the weekend ahead.",2025-09-12T05:00:00+10:00,https://content.api.news/v3/images/bin/10d6444bc81d9bb5a8e4b04203377f15,Weather
skynews,,Greta Thunberg’s sister distances herself from climate activist,https://www.skynews.com.au/lifestyle/celebrity-life/greta-thunbergs-sister-beata-ernman-quietly-distances-herself-from-climate-activist-after-name-change/news-story/df63c011852c902ba0f66ac6eda03a0e,Greta Thunberg’s only sister Beata Ernman has quietly distanced herself from her world-famous sibling as she embarks on a risque new career.,,https://content.api.news/v3/images/bin/a18dd31dec919418a6f452e205d9f97d,Celebrity life
skynews,,‘Brave face’: Chinese car makers dominate European competitors at major car show,https://www.skynews.com.au/business/tech-and-innovation/european-car-makers-put-on-brave-face-against-dominant-chinese-competitors-at-2025-international-motor-show-germany/news-story/0620f1097ec17b80a1f235a86fc36b49,"Chinese vehicle makers dominated the floor at the 2025 International Motor Show Germany, where electric cars were front and centre.",2025-09-12T05:00:00+10:00,https://content.api.news/v3/images/bin/82e92f6322ea23d0bb2efe227ede0926,Tech and innovation
skynews,,"Picture-perfect fjords, ‘Europe’s most underrated ports’: Cruise giant’s pitch to Aussies",https://www.skynews.com.au/lifestyle/travel/pictureperfect-fjords-europes-most-underrated-ports-norwegian-cruise-lines-pitch-to-australian-tourists/news-story/7ea2fdf23950814bd1461e0981251532,"A cruise liner is offering Australian dreamers a gateway to some of Europe’s most spectacular experiences – including the northern lights and geothermal lagoons, writes Des Houghton.",2025-09-12T05:00:00+10:00,https://content.api.news/v3/images/bin/ae01454d1ff8c69556a2377fec811902,Travel
skynews,,Britain sacks US ambassador over Epstein ties,https://www.skynews.com.au/world-news/united-kingdom/british-prime-minister-sir-keir-starmer-sacks-us-ambassador-peter-mandelson-over-ties-to-notorious-sex-trafficker-jeffrey-epstein/news-story/ef16b52a403cf4d37144fd9550712e1d,"Britain’s ambassador to the US, Peter Mandelson, has been sacked following intense scrutiny over his ties with notorious sex trafficker Jeffrey Epstein.",,https://content.api.news/v3/images/bin/fbdd93e645548c59f7e71507e00e9fc4,United Kingdom
skynews,,Charlie Kirk’s killer has created a million versions of the visionary conservative activist,https://www.skynews.com.au/insights-and-analysis/esther-krakue-courageous-visionary-charlie-kirk-taught-me-it-was-not-only-acceptable-but-necessary-to-be-a-conservative/news-story/5ccab3d4ba4d9221b362fd11c55036bd,"Sky News commentator and former Turning Point UK host Esther Krakue has remembered conservative activist Charlie Kirk as a “remarkable visionary”, and warned his killer they have “created something far bigger than they have destroyed”.",,https://content.api.news/v3/images/bin/909899e1429a5392e1bd1edaf95d6518,Insights and analysis
skynews,,"NZ fugitive’s son, 10, ‘holding rifle’ when cops found kids in remote hideout",https://www.skynews.com.au/australia-news/crime/there-was-a-negotiation-new-zealand-fugitive-tom-phillips-10yearold-son-holding-a-rifle-when-discovered-with-sibling-in-remote-bushland-bunker/news-story/e2bb88a6c35138f226815b49f0fb90e8,Tom Phillip’s 10-year-old son allegedly held up a rifle at police officers when they discovered the remote bushland bunker the New Zealand fugitive had lived for four years with his children.,,https://content.api.news/v3/images/bin/f709996df29e276122caf9cd277bbd30,Crime
skynews,,‘Absolutely devastated’: Beloved Aussie sports star reveals major news after health scare,https://www.skynews.com.au/australia-news/sport/absolutely-devastated-decorated-australian-sporting-legend-reveals-gutwrenching-news-after-major-health-scare/news-story/2e33b1f6c306cff6e0bd1833d4f5a423,One of Australia’s most iconic athletes is “absolutely devastated” after revealing she would be unable to compete at a major world championship event being held in her hometown.,,https://content.api.news/v3/images/bin/611b190243b6292efb8a4b7deee12cf5,Sport
skynews,,Two Vic police officers charged with manslaughter over death after arrest,https://www.skynews.com.au/australia-news/two-victoria-police-officers-charged-with-manslaughter-over-death-of-35yearold-man-who-died-after-arrest/news-story/a3a4610dcaef0c72c2e62f424db1cc09,"Victorian Police have charged two of its own officers with manslaughter over the death of a 35-year-old Hoppers Crossing man, who died in hospital after being arrested in July last year.",,https://content.api.news/v3/images/bin/e429cfa275962c9ba92bd14e9b4133f7,Australia
skynews,,Pepper spray used to scare off attacker for first time since new NT laws enacted,https://www.skynews.com.au/australia-news/crime/pepper-spray-used-to-scare-off-darwin-attacker-for-first-time-since-the-territory-legalised-the-device-for-selfdefence-purposes-amid-ongoing-crime-crisis/news-story/2877eb5c63541ac8026b8638dc0737ec,Sky News can reveal a man produced an OC spray canister to scare off an attacker in what is understood to be the first case of someone producing the device in the NT since a trial began to legalise its use.,,https://content.api.news/v3/images/bin/7272162e7a2deab30189f5b5d3ede467,Crime
skynews,,Shocking rise of home insurance costs hurts struggling Australians,https://www.skynews.com.au/business/finance/home-and-contents-insurance-premiums-skyrocket-upwards-of-700-over-past-year-fresh-canstar-research-shows/news-story/149e446e5925b94c232961f388b8fbac,Aussies are continuing to struggle through enormous insurance premium rises – even as inflation settles.,,https://content.api.news/v3/images/bin/635f9d6fc2a21a718c3259a200e0030b,Finance
skynews,,‘Unusually violent period’: Fears Charlie Kirk’s assassination not the end of political violence,https://www.skynews.com.au/world-news/united-states/unusually-violent-period-fears-charlie-kirks-shocking-assassination-not-the-end-of-political-violence-in-the-us/news-story/9b1edefe21bc6f4e8051a1047ce46f1b,"Charlie Kirk’s shocking assassination has led to fears more political violence is coming, as a professor warns the United States is caught “in the most politically violent era” since the 1970s.",,https://content.api.news/v3/images/bin/34b860a8af7df814e78f0499319723da,United States
skynews,,American influencer slammed for wrestling crocodile in Queensland,https://www.skynews.com.au/lifestyle/bloke-clearly-had-no-clue-steve-irwins-father-bob-slams-american-influencer-mike-holston-for-wrestling-queensland-crocodile/news-story/29a4f9789fece36acc1209c2f361a673,Steve Irwin’s father Bob – and many other Australians – have lambasted American influencer Mike Holston for his video in which he wrestled a crocodile.,,https://content.api.news/v3/images/bin/87910342b69cfdc43f57458b1218ffc4,Lifestyle
skynews,,"Note to Canberra, don’t gamble with immigration if you want to protect your nation’s soul",https://www.skynews.com.au/insights-and-analysis/a-message-from-the-us-to-canberra-dont-gamble-with-immigration-unless-you-want-splintered-communities-strained-public-services/news-story/e95a17266bbcdc07ed59d42d99feb576,"There are concrete actions Australian leaders can take to avoid the dire consequences that excessive immigration has wrought across the US, writes Kristin Tate.",,https://content.api.news/v3/images/bin/21173b418adb04631723000bc657f419,Insights and analysis
skynews,,This Russia-China deal could have major implications for critical Australian industry,https://www.skynews.com.au/insights-and-analysis/russiachina-energy-deal-could-have-longterm-implications-for-australias-critical-liquified-natural-gas-export-industry/news-story/31d6732e9b4607328e828f342af7909b,"Russia and China have come to terms on a major energy deal that threatens to upend an industry in which Australia is one of the world’s biggest players, writes Dr. Alexey Muraviev.",,https://content.api.news/v3/images/bin/ddaf04dcefae935d75ebb3570d7351ea,Insights and analysis
