site,keyword,title,url,snippet,date,image,section
theage,,Real Footy newsletter,https://www.theage.com.au/newsletter-signup?newsletter=real-footy&utm_source=Homepage&utm_medium=CTABox&utm_campaign=Newsletters,"News, results and analysis of the weekend’s big games.",,https://static.ffx.io/images/$zoom_1%2C$multiply_0.1905%2C$ratio_1%2C$width_378%2C$x_5%2C$y_4/t_crop_custom/q_86%2Ce_sharpen:60%2Cf_auto/1c92ea25808f5d4d77fd87ea0d04c85fc24fdb6b,
theage,,Inside Politics podcast,https://omny.fm/shows/inside-politics,Cut through the noise of federal politics with Inside Politics every Friday.,,https://static.ffx.io/images/$zoom_3.15%2C$multiply_0.5%2C$ratio_1%2C$width_378%2C$x_0%2C$y_0/t_crop_custom/q_86%2Cf_auto/4fac824b9443477b45bdfc0202c05a0081fdd532f3839224d60ee3d8a7780fb3,
theage,,Interactive: Search for uni courses,https://www.theage.com.au/australia-higher-education,"Search for uni courses with Campus, your essential education guide.",,https://static.ffx.io/images/$zoom_0.7875%2C$multiply_0.1905%2C$ratio_1%2C$width_378%2C$x_0%2C$y_0/t_crop_custom/q_86%2Ce_sharpen:60%2Cf_auto/9574e8a2500e12ee4ec311c719bf04e51f31d773,
theage,,"Police recover gun, home in on ‘college age’ suspect in Kirk assassination",https://www.theage.com.au/world/north-america/police-recover-gun-hone-in-on-college-age-suspect-in-charlie-kirk-assassination-20250912-p5mufz.html,The FBI has released two images of a person of interest and appealed to the public for help in their investigation of the fatal shooting of the conservative activist.,,https://static.ffx.io/images/$zoom_0.39375%2C$multiply_0.7725%2C$ratio_1.5%2C$width_756%2C$x_0%2C$y_0/t_crop_custom/q_86%2Cf_auto/f4f3063c0fadafbcd445f32131b0b5ee5a738c53eb1f6c4780a44e0844702574,Violence
theage,,It’s been years since Julie Bishop faced the heat of the press – and it showed,https://www.theage.com.au/politics/federal/the-death-stare-is-back-but-there-s-one-sign-julie-bishop-is-feeling-the-heat-20250911-p5mucr.html,"“I feel very emotional,” Bishop said, as she stared down a room of reporters on Thursday. She did not look it.",,https://static.ffx.io/images/$zoom_0.30395194697597355%2C$multiply_0.254%2C$ratio_1%2C$width_378%2C$x_733%2C$y_128/t_crop_custom/q_86%2Cf_auto/b9fbac2760e88f7815cb252b67e16dd48994ea36,Universities in crisis
theage,,"Price was demoted, not discarded. And that spells trouble for Ley",https://www.theage.com.au/politics/federal/price-was-demoted-not-discarded-and-that-spells-trouble-for-ley-20250908-p5mt9n.html,"Jacinta Nampijinpa Price’s conservative colleagues are already daring to suggest she could return to the shadow ministry. Sussan Ley’s position is secure for now, but for how long?",,,Political leadership
theage,,Epstein scandal spills into London – and claims a top Downing Street scalp,https://www.theage.com.au/world/europe/epstein-scandal-spills-into-london-and-claims-a-top-scalp-20250911-p5muex.html,The ambassador to the US was sacked from his role after revelations he maintained a relationship with the disgraced financier even after Epstein’s crimes were exposed.,,https://static.ffx.io/images/$zoom_0.7512628301233999%2C$multiply_0.7725%2C$ratio_1.5%2C$width_756%2C$x_129%2C$y_40/t_crop_custom/q_86%2Cf_auto/37e3d73ca84b4205b9da36433cd2789de4e2cb75,Epstein fallout
theage,,Controversial F1 lock-out halted after residents’ backlash,https://www.theage.com.au/politics/victoria/opposition-parties-slam-brakes-on-proposed-grand-prix-change-20250911-p5mubm.html,A government decision to shelve a proposed extension of the Albert Park lockout may leave it in breach of its Formula 1 contract.,,https://static.ffx.io/images/$zoom_0.1406%2C$multiply_0.254%2C$ratio_1%2C$width_378%2C$x_65%2C$y_0/t_crop_custom/q_86%2Cf_auto/c664363a21dacaa5b13c6fa7cff28838f1aff7ee,Australian Grand Prix
theage,,Premier under fire over Big Build corruption,https://www.theage.com.au/national/victoria/premier-under-fire-over-big-build-corruption-as-calls-for-royal-commission-grow-20250911-p5mu8z.html,Jacinta Allan rebuffs suggestions she misled Victorians over her knowledge of damaging corruption allegations.,,,Building Bad
theage,,‘I don’t think it is true’: Martin defends Brad Scott over strained relationship claims,https://www.theage.com.au/sport/afl/i-don-t-think-it-is-true-nic-martin-s-strong-defence-of-coach-brad-scott-over-strained-relationship-claims-20250911-p5muf5.html,Nic Martin launched an impassioned defence of his coach Brad Scott while also admitting he was “bitterly hurt” when he heard skipper Zach Merrett had met with an arch rival.,,https://static.ffx.io/images/$zoom_0.26138197296080545%2C$multiply_0.7725%2C$ratio_1.5%2C$width_756%2C$x_277%2C$y_103/t_crop_custom/q_86%2Cf_auto/6c6b3a9e1cf65966362fb7b14bd6ad0346ef74fd,Essendon Bombers
