headline,link,source_url
Price defiant as Ley axes senator from frontbench,https://www.theaustralian.com.au/nation/politics/jacinta-nampijinpa-price-defiant-as-sussan-ley-axes-senator-from-frontbench/news-story/e20ae9a6e6bda1d9b6cad818cdbc4f96,https://www.theaustralian.com.au/
"Mud-slinging may stick, but for now Ley is in charge",https://www.theaustralian.com.au/commentary/mudslinging-may-stick-but-for-now-sussan-ley-is-in-charge/news-story/8d5761c615eabba19daaac286d5af8fb,https://www.theaustralian.com.au/
"Higgins’ $2.4m compo payout ‘not available’, lawyer told Reynolds",https://www.theaustralian.com.au/nation/brittany-higgins-24m-compo-payout-will-never-be-available-to-reynolds-lawyer/news-story/ede83ba89471446e6bcd238d1588e529,https://www.theaustralian.com.au/
AFL chair plot puts McLachlan in frame,https://www.theaustralian.com.au/sport/afl/afl-chair-plot-puts-gillon-mclachlan-in-frame-for-top-board-role/news-story/1bd05f3f4a9f1ca94cf16ea83521c06a,https://www.theaustralian.com.au/
"Liberal director ridiculed women, MP ‘with dementia’ in leaked texts",https://www.theaustralian.com.au/nation/politics/victorian-liberal-directors-jokes-about-womens-council-and-mp-with-dementia-in-leaked-text-messages/news-story/4a994ebe0b15a9cd488a16907c6bd09b,https://www.theaustralian.com.au/
Deadly floods inundate Bali,https://www.theaustralian.com.au/world/at-least-11-dead-13-missing-as-flash-flooding-tears-through-bali-east-nusa-tenggara/news-story/c5605183e730b3a1593d49989b1780fb,https://www.theaustralian.com.au/
Biden was ‘reckless’ to run again: Harris,https://www.theaustralian.com.au/world/kamala-harris-says-it-was-reckless-to-let-joe-biden-run-again/news-story/0aef33c9de421a26337f392cee632b2a,https://www.theaustralian.com.au/
Illicit tobacco boss in $36m tax fraud case,https://www.theaustralian.com.au/nation/illicit-tobacco-ringleader-charged-over-363m-tax-fraud-in-melbourne/news-story/a2d71e035451205fc46d6a9e22b24dff,https://www.theaustralian.com.au/
Israel blasts Houthi propaganda HQ,https://www.theaustralian.com.au/world/israel-blasts-houthi-propaganda-headquarters/news-story/6141411d44c7cbc1b33c5d3b7d408b93,https://www.theaustralian.com.au/
"‘We’ll strike you anywhere’, Bibi warns Hamas",https://www.theaustralian.com.au/world/israel-says-it-will-target-hamas-anywhere-as-world-slams-doha-attack/news-story/08a064115e129faa0c13c2f7050b6e5c,https://www.theaustralian.com.au/
$270k legal twist in Dan Andrews ‘bike boy’ saga,https://www.theaustralian.com.au/news/270000-legal-demand-in-dan-andrews-bike-boy-saga/news-story/29ac431a81f099cac21a1a6cb9c7168a,https://www.theaustralian.com.au/
Topp’s Butterfly takes flight with moments of gold,https://www.theaustralian.com.au/arts/stage/modern-butterfly-ballet-shimmers-in-small-moments/news-story/6f9568b7d44f03af0e9edf620b6b7233,https://www.theaustralian.com.au/
Deal of a lifetime: The $10 million global war for Mary Fowler,https://www.theaustralian.com.au/sport/football/the-battle-between-global-sportswear-giants-which-could-earn-mary-fowler-a-recordbreaking-sponsorship-deal/news-story/13b50f041bb08e3880da0180fc6410e8,https://www.theaustralian.com.au/
Israel’s daring strike on Hamas in Qatar was long overdue,https://www.theaustralian.com.au/commentary/israels-daring-air-strike-on-hamas-in-qatar-was-long-overdue/news-story/90632333e20baa375db70e0900477950,https://www.theaustralian.com.au/
Tax and policy logic gone in a puff of illicit smokes,https://www.theaustralian.com.au/commentary/its-bad-policy-but-there-is-no-escape-from-dangerous-tobacco-laws/news-story/8a7216f5c93c9513062e8ffce0d3b1b8,https://www.theaustralian.com.au/
Let’s have the serious talk about migration,https://www.theaustralian.com.au/commentary/well-always-welcome-migrants-who-want-to-join-team-australia/news-story/af1711ddbcc160fa3bb7d23d55b0dc85,https://www.theaustralian.com.au/
Indigenous ‘truth-telling’ education will be anything but an advantage,https://www.theaustralian.com.au/commentary/schooled-in-harsh-narrative-of-strife-and-resentment/news-story/249be936a80d79658e635e704c88ff8b,https://www.theaustralian.com.au/
My family stopped eating ultra-processed foods for a month. The results surprised us,https://www.theaustralian.com.au/health/my-family-went-off-ultraprocessed-foods-for-a-month-the-results-surprised-us/news-story/68a865f722fc3c322d6b0894a137ae0e,https://www.theaustralian.com.au/
ANZ cuts a brutal insight into Nuno Matos’ agenda,https://www.theaustralian.com.au/business/companies/anz-chief-nuno-matos-lives-up-to-his-reputation-with-job-cuts/news-story/c05d3b525715ee2945d7253764b96616,https://www.theaustralian.com.au/
Tim had full-blown cancer at 44. A prostate screen at 40 might have caught it,https://www.theaustralian.com.au/health/medical/tim-hopes-proposed-new-prostate-cancer-guidelines-mean-fewer-men-end-up-like-him/news-story/08e3be29097024166c07a86b450f57ee,https://www.theaustralian.com.au/
Labor unveils new super agency for education,https://www.theaustralian.com.au/nation/jason-clare-to-push-for-merged-education-agency-in-latest-labor-reform/news-story/344f3ccc5bb2f51ec2ea1a94f0acc333,https://www.theaustralian.com.au/
"Gambling kings Craven, Tehrani make $250m Hacksaw play",https://www.theaustralian.com.au/business/companies/billionaire-ed-cravens-250m-hacksaw-play-with-stake-partner-bijan-tehrani/news-story/09e253ef68cebec3e4d3d764c3c808f7,https://www.theaustralian.com.au/
Net-zero bank’s blow for recycler,https://www.theaustralian.com.au/nation/cefc-appoints-receivers-to-rino-recycling/news-story/df373ba39156bf9879caa660896eb52b,https://www.theaustralian.com.au/
Matos unpicks Suncorp Bank vision as sector reels from job cuts,https://www.theaustralian.com.au/business/financial-services/nab-to-cut-hundreds-of-jobs-following-anzs-mass-staff-cuts/news-story/5201211c92c723465392314f204a5055,https://www.theaustralian.com.au/
Curious case of anti-car MP and an unneighbourly power tiff,https://www.theaustralian.com.au/business/margin-call/alex-greenwich-doesnt-like-cars-but-his-garage-is-loaded-with-them-and-they-need-a-bit-of-boost/news-story/ad7a768ab968d7380fa104d271de1e70,https://www.theaustralian.com.au/
Queensland-backed PsiQuantum now a $10bn company after VC blitz,https://www.theaustralian.com.au/business/technology/macquarie-ribbit-capital-and-nvidias-nventures-lead-psiquantum-to-105bn-valuation/news-story/09267e00d602c6addff5165de1a4e593,https://www.theaustralian.com.au/
Bitter row behind billionaire’s purchase of ‘$500m’ MCo Beauty,https://www.theaustralian.com.au/business/legal-affairs/exmco-beauty-finance-chief-sues-company-shelley-sullivan-and-billionaire-dennis-bastas/news-story/665f1c91df3eb5d48f75b413f0dd6c8a,https://www.theaustralian.com.au/
Another blow to Fortescue’s green ambition as rising star steps aside,https://www.theaustralian.com.au/business/companies/fortescue-zeros-chief-steps-aside-in-latest-blow-to-andrew-forrests-green-ambitions/news-story/b5ab82ca76638168aad4dce55c953b9b,https://www.theaustralian.com.au/
Money laundering watchdog drops Entain case claims,https://www.theaustralian.com.au/business/margin-call/entain-claims-dropped-after-austrac-fails-to-read-its-own-money-laundering-guidance/news-story/74d07f56b6694f7820c8549764bd715d,https://www.theaustralian.com.au/
Up $13k in five years: how much it now costs to retire,https://www.theaustralian.com.au/wealth/retirement/new-figures-reveal-rise-in-cost-of-comfortable-retirement-in-australia/news-story/050963ca945a0e09c86a367bba6c556f,https://www.theaustralian.com.au/
Telstra boss calls for overhaul of digital infrastructure rules,https://www.theaustralian.com.au/business/technology/telstra-ceo-calls-for-digital-infrastructure-overhaul-at-national-press-club/news-story/1f9c48f566be9fff49b1f6e5118138f1,https://www.theaustralian.com.au/
Retirement riches await Aussies who head overseas,https://www.theaustralian.com.au/wealth/retirement/retirees-living-like-kings-on-the-age-pension-using-this-littleknown-rule/news-story/e4de61f1030b4b7741560b17635b91a7,https://www.theaustralian.com.au/
